ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,370.88,128,31.56,52184460
4096,2048,319.03,128,31.02,80373132
6144,2048,305.53,128,30.65,108561804
8192,2048,290.21,128,30.39,136750476
10240,2048,283.15,128,29.79,164939148
12288,2048,269.26,128,28.24,193127820
14336,2048,253.18,128,28.58,221316492
16384,2048,256.40,128,27.12,249505164
18432,2048,251.54,128,26.40,277693836
20480,2048,250.63,128,26.30,305882508
22528,2048,246.91,128,25.41,334071180
24576,2048,239.75,128,25.01,362259852
26624,2048,229.87,128,24.30,390448524
28672,2048,221.75,128,23.84,418637196
30720,2048,213.45,128,22.95,446825868
32768,2048,202.83,128,21.81,475014540
34816,2048,186.43,128,20.45,503203212
36864,2048,172.81,128,18.80,531391884
38912,2048,160.96,128,17.89,559580556
40960,2048,157.57,128,18.09,587769228
43008,2048,159.23,128,18.16,615957900
45056,2048,156.37,128,18.01,644146572
47104,2048,154.00,128,17.81,672335244
49152,2048,153.41,128,17.89,700523916
51200,2048,151.50,128,17.61,728712588
53248,2048,150.99,128,17.99,756901260
55296,2048,151.74,128,17.90,785089932
57344,2048,152.20,128,18.20,813278604
59392,2048,150.97,128,18.12,841467276
61440,2048,151.35,128,18.32,869655948
63488,2048,151.03,128,18.22,897844620
65536,2048,150.88,128,18.31,926033292
