ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,371.25,128,31.45,52184460
4096,2048,316.06,128,30.61,80373132
6144,2048,294.60,128,30.52,108561804
8192,2048,294.50,128,30.37,136750476
10240,2048,275.53,128,29.45,164939148
12288,2048,268.76,128,29.61,193127820
14336,2048,265.15,128,29.07,221316492
16384,2048,262.22,128,29.31,249505164
18432,2048,264.08,128,27.31,277693836
20480,2048,258.86,128,27.33,305882508
22528,2048,255.26,128,26.93,334071180
24576,2048,252.61,128,26.77,362259852
26624,2048,246.05,128,26.16,390448524
28672,2048,240.65,128,25.88,418637196
30720,2048,237.89,128,25.29,446825868
32768,2048,232.44,128,24.88,475014540
34816,2048,224.43,128,24.29,503203212
36864,2048,214.85,128,24.19,531391884
38912,2048,209.23,128,23.15,559580556
40960,2048,202.43,128,22.78,587769228
43008,2048,193.46,128,21.91,615957900
45056,2048,184.53,128,21.48,644146572
47104,2048,182.88,128,20.96,672335244
49152,2048,178.03,128,20.57,700523916
51200,2048,172.77,128,20.26,728712588
53248,2048,170.35,128,20.11,756901260
55296,2048,166.63,128,19.90,785089932
57344,2048,167.17,128,20.00,813278604
59392,2048,161.33,128,19.94,841467276
61440,2048,158.77,128,20.06,869655948
63488,2048,153.33,128,19.42,897844620
65536,2048,160.92,128,19.93,926033292
