ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,367.41,128,31.37,52184460
4096,2048,308.93,128,30.69,80373132
6144,2048,287.41,128,29.88,108561804
8192,2048,287.25,128,29.44,136750476
10240,2048,271.40,128,29.50,164939148
12288,2048,262.67,128,29.12,193127820
14336,2048,256.75,128,28.55,221316492
16384,2048,253.12,128,28.33,249505164
18432,2048,242.75,128,27.18,277693836
20480,2048,244.86,128,27.36,305882508
22528,2048,240.68,128,26.99,334071180
24576,2048,237.63,128,26.50,362259852
26624,2048,229.31,128,25.87,390448524
28672,2048,221.92,128,25.61,418637196
30720,2048,216.64,128,24.85,446825868
32768,2048,210.24,128,24.41,475014540
34816,2048,200.57,128,23.65,503203212
36864,2048,192.56,128,23.08,531391884
38912,2048,185.42,128,22.32,559580556
40960,2048,180.47,128,21.84,587769228
43008,2048,173.72,128,21.34,615957900
45056,2048,172.52,128,20.91,644146572
47104,2048,168.20,128,20.85,672335244
49152,2048,167.34,128,20.92,700523916
51200,2048,165.98,128,20.88,728712588
53248,2048,164.38,128,20.79,756901260
55296,2048,165.11,128,20.99,785089932
57344,2048,168.26,128,20.90,813278604
59392,2048,165.40,128,21.19,841467276
61440,2048,164.74,128,21.43,869655948
63488,2048,165.02,128,21.50,897844620
65536,2048,166.11,128,21.53,926033292
