ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,371.11,128,31.51,52184460
4096,2048,320.03,128,30.95,80373132
6144,2048,308.13,128,30.70,108561804
8192,2048,299.70,128,30.58,136750476
10240,2048,287.65,128,29.56,164939148
12288,2048,284.56,128,28.82,193127820
14336,2048,276.85,128,29.11,221316492
16384,2048,272.18,128,29.30,249505164
18432,2048,268.11,128,26.52,277693836
20480,2048,263.49,128,26.47,305882508
22528,2048,259.51,128,26.39,334071180
24576,2048,256.34,128,26.32,362259852
26624,2048,250.25,128,26.05,390448524
28672,2048,246.17,128,25.87,418637196
30720,2048,241.76,128,25.41,446825868
32768,2048,238.00,128,25.22,475014540
34816,2048,230.12,128,24.86,503203212
36864,2048,222.65,128,24.67,531391884
38912,2048,214.76,128,24.17,559580556
40960,2048,208.13,128,23.75,587769228
43008,2048,200.00,128,23.16,615957900
45056,2048,194.05,128,22.90,644146572
47104,2048,188.24,128,22.32,672335244
49152,2048,182.24,128,21.78,700523916
51200,2048,175.61,128,21.30,728712588
53248,2048,171.45,128,21.05,756901260
55296,2048,168.77,128,20.74,785089932
57344,2048,166.39,128,20.86,813278604
59392,2048,163.61,128,20.58,841467276
61440,2048,162.49,128,20.55,869655948
63488,2048,162.50,128,20.42,897844620
65536,2048,162.05,128,20.56,926033292
